bk_no,bk_name,addr_kenno,addr_sino
94076,仙台白萩マンション,4,4103
44221,アルブルコリーヌⅠ,4,4406
44241,ブライト木町,4,4101
40673,ノヴェルＡ,4,4215
50043,ボヌール富沢,4,4104
40640,ミヤビ,4,4421
50034,向山グリーンハウス,4,4104
900521,×××いずみ荘,4,4105
13035,センチュリーマンション第２駐車場,4,4104
768,■　空き番号　■　8世帯　※2020年10月までは空番号,4,4101
978,コーポＴＭ,4,4102
47328,エクセレントシティ岩切Ｂ,4,4102
911084,×××落合庄子貸家２－４５,4,4101
12097,サンロード泉松森,4,4105
10012,オーシャン,4,4102
43908,ハイツＩＭ,4,4101
91061,チュリス春日町（ＴＨＥ６）,4,4101
56,ホワイトドール台原,4,4101
45366,ピース清水沼,4,4102
47570,ディアコート高松,4,4101
40657,岩切アパート,4,4102
47009,メゾン・ドール中野Ｂ,4,4102
42957,グローリアス　ビュー,4,4104
40646,エルデムＺＥＮＢ棟,4,4421
10015,五輪１丁目ＡＰ,4,4102
49083,ロイヤルヒルズ台原Ⅲ,4,4101
940009,×××Ｋハイツ,4,4103
47331,ガーデンコート槐,4,4102
51031,アビタシオン桜ケ丘,4,4101
912093,×××第七旭コーポラス,4,4101
409,サンダーコートⅡ,4,4101
912069,×××森コーポ,4,4105
44106,セジュールＡ棟,4,4101
51012,Ｓｔｒａｗｂｅｒｒｙ Ｐｏｔ,4,4101
48005,台原第５,4,4101
921076,×××向田戸建,4,4101
52047,サンシャイン青山,4,4104
990055,フェザンコート星陵,4,4101
42505,グレイスハイツ榴岡,4,4102
40211,リージア勾当台公園,4,4101
809,カーサ八木山本町,4,4104
620,コーポハニー,4,4103
93220,佐藤下宿,4,4101
44360,エムフィールド南中山Ｃ,4,4105
40772,シャルマンハイム,4,4105
45457,パーシヴ遠見塚Ｄ,4,4103
92005,竹澤ビル,4,4101
43976,E-JAM長町,4,4104
839,シャンテ北浜,4,4203
11080,愛子中央Ｂ戸建,4,4101
11048,泉ケ丘一丁目戸建,4,4105
41061,セジュール向陽台,4,4105
308,ＭＳＣコーポⅢ,4,4101
10020,ロフティ中山,4,4101
92170,クレールコート,4,4103
41008,ヴィアーレＡ・Ｕ,4,4105
47214,ヴェルドミール八幡,4,4101
46231,ジュネス富沢,4,4104
910561,×××ビューハイム下馬,4,4209
42895,コーラルビル,4,4102
922016,×××ライオンズマンション山手町,4,4101
874,アドバンス長町南,4,4104
44105,セジュールＡ,4,4101
42069,シェモア泉中央,4,4105
912001,×××コーポ立町,4,4101
740,グラン・ドミール成田,4,4216
12130,旭コーポラス宮城野,4,4102
48917,ハイツあがと,4,4103
52008,ファミールＡＢＥ,4,4104
